IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:59.000000
IntervalTime:19.000000, sinkNodeId:27, sId:2, startTime:40.000000, arriveTime:59.000000
IntervalTime:26.000000, sinkNodeId:27, sId:2, startTime:33.000000, arriveTime:59.000000
IntervalTime:15.000000, sinkNodeId:27, sId:2, startTime:44.000000, arriveTime:59.000000
IntervalTime:17.000000, sinkNodeId:27, sId:1, startTime:42.000000, arriveTime:59.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:60.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:39.000000, arriveTime:60.000000
IntervalTime:36.000000, sinkNodeId:27, sId:2, startTime:24.000000, arriveTime:60.000000
IntervalTime:29.000000, sinkNodeId:27, sId:2, startTime:31.000000, arriveTime:60.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:55.000000, arriveTime:60.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:60.000000, arriveTime:61.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:61.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:55.000000, arriveTime:61.000000
IntervalTime:27.000000, sinkNodeId:27, sId:2, startTime:34.000000, arriveTime:61.000000
IntervalTime:27.000000, sinkNodeId:27, sId:1, startTime:34.000000, arriveTime:61.000000
IntervalTime:37.000000, sinkNodeId:27, sId:2, startTime:24.000000, arriveTime:61.000000
IntervalTime:10.000000, sinkNodeId:27, sId:1, startTime:51.000000, arriveTime:61.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:58.000000, arriveTime:62.000000
IntervalTime:9.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:62.000000
IntervalTime:9.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:62.000000
IntervalTime:9.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:62.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:61.000000, arriveTime:62.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:55.000000, arriveTime:62.000000
