time:102.000000, sinkNodeId:27, sId:2, number:1
time:102.000000, sinkNodeId:27, sId:2, number:1
time:102.000000, sinkNodeId:27, sId:1, number:1
time:102.000000, sinkNodeId:27, sId:2, number:1
time:102.000000, sinkNodeId:27, sId:1, number:1
time:103.000000, sinkNodeId:27, sId:1, number:5
time:103.000000, sinkNodeId:27, sId:2, number:1
time:103.000000, sinkNodeId:27, sId:2, number:1
time:103.000000, sinkNodeId:27, sId:1, number:1
time:103.000000, sinkNodeId:27, sId:2, number:1
time:103.000000, sinkNodeId:27, sId:1, number:1
time:104.000000, sinkNodeId:27, sId:1, number:5
time:104.000000, sinkNodeId:27, sId:2, number:1
time:104.000000, sinkNodeId:27, sId:2, number:1
time:104.000000, sinkNodeId:27, sId:1, number:1
time:104.000000, sinkNodeId:27, sId:2, number:1
time:104.000000, sinkNodeId:27, sId:1, number:1
time:105.000000, sinkNodeId:27, sId:1, number:6
time:105.000000, sinkNodeId:27, sId:2, number:1
time:105.000000, sinkNodeId:27, sId:2, number:1
time:105.000000, sinkNodeId:27, sId:1, number:1
time:105.000000, sinkNodeId:27, sId:2, number:1
time:105.000000, sinkNodeId:27, sId:1, number:1
time:106.000000, sinkNodeId:27, sId:1, number:5
time:106.000000, sinkNodeId:27, sId:2, number:1
time:106.000000, sinkNodeId:27, sId:1, number:1
time:106.000000, sinkNodeId:27, sId:2, number:1
time:106.000000, sinkNodeId:27, sId:1, number:1
time:107.000000, sinkNodeId:27, sId:1, number:5
time:107.000000, sinkNodeId:27, sId:2, number:1
time:107.000000, sinkNodeId:27, sId:2, number:1
time:107.000000, sinkNodeId:27, sId:1, number:1
time:107.000000, sinkNodeId:27, sId:2, number:1
time:107.000000, sinkNodeId:27, sId:1, number:1
time:108.000000, sinkNodeId:27, sId:1, number:4
time:108.000000, sinkNodeId:27, sId:2, number:1
time:108.000000, sinkNodeId:27, sId:2, number:1
time:108.000000, sinkNodeId:27, sId:1, number:1
time:108.000000, sinkNodeId:27, sId:2, number:1
time:108.000000, sinkNodeId:27, sId:1, number:1
time:109.000000, sinkNodeId:27, sId:1, number:4
time:109.000000, sinkNodeId:27, sId:2, number:1
time:109.000000, sinkNodeId:27, sId:2, number:1
time:109.000000, sinkNodeId:27, sId:1, number:1
time:109.000000, sinkNodeId:27, sId:2, number:1
time:109.000000, sinkNodeId:27, sId:1, number:1
time:110.000000, sinkNodeId:27, sId:1, number:3
time:110.000000, sinkNodeId:27, sId:2, number:1
time:110.000000, sinkNodeId:27, sId:2, number:1
time:110.000000, sinkNodeId:27, sId:1, number:1
time:110.000000, sinkNodeId:27, sId:2, number:1
time:110.000000, sinkNodeId:27, sId:1, number:1
time:111.000000, sinkNodeId:27, sId:1, number:5
time:111.000000, sinkNodeId:27, sId:2, number:1
time:111.000000, sinkNodeId:27, sId:2, number:1
time:111.000000, sinkNodeId:27, sId:1, number:1
time:111.000000, sinkNodeId:27, sId:2, number:1
time:111.000000, sinkNodeId:27, sId:1, number:1
time:112.000000, sinkNodeId:27, sId:1, number:4
time:112.000000, sinkNodeId:27, sId:2, number:1
time:112.000000, sinkNodeId:27, sId:2, number:1
time:112.000000, sinkNodeId:27, sId:1, number:1
time:112.000000, sinkNodeId:27, sId:2, number:1
time:112.000000, sinkNodeId:27, sId:1, number:1
time:113.000000, sinkNodeId:27, sId:1, number:3
time:113.000000, sinkNodeId:27, sId:2, number:1
time:113.000000, sinkNodeId:27, sId:2, number:1
time:113.000000, sinkNodeId:27, sId:1, number:1
time:113.000000, sinkNodeId:27, sId:2, number:1
time:113.000000, sinkNodeId:27, sId:1, number:1
time:114.000000, sinkNodeId:27, sId:1, number:4
time:114.000000, sinkNodeId:27, sId:2, number:1
time:114.000000, sinkNodeId:27, sId:2, number:1
time:114.000000, sinkNodeId:27, sId:1, number:1
time:114.000000, sinkNodeId:27, sId:2, number:1
time:114.000000, sinkNodeId:27, sId:1, number:1
time:115.000000, sinkNodeId:27, sId:1, number:4
time:115.000000, sinkNodeId:27, sId:2, number:1
time:115.000000, sinkNodeId:27, sId:2, number:1
time:115.000000, sinkNodeId:27, sId:1, number:1
time:115.000000, sinkNodeId:27, sId:2, number:1
time:115.000000, sinkNodeId:27, sId:1, number:1
time:116.000000, sinkNodeId:27, sId:1, number:4
time:116.000000, sinkNodeId:27, sId:2, number:1
time:116.000000, sinkNodeId:27, sId:2, number:1
time:116.000000, sinkNodeId:27, sId:1, number:1
time:116.000000, sinkNodeId:27, sId:2, number:1
